HochschulName,NAME_1
Alfter HfKuG,Rhein-Sieg-Kreis
Baden-Württemberg HRecht (Verw),Rhein-Neckar-Kreis
Baden-Württemberg HVerw/Finanzen(Verw),Ludwigsburg
Bayern HföD (Verw),München
Berlin Akkon,Berlin
Berlin ASH,Berlin
Berlin bbw,Berlin
Berlin BC,Berlin
Berlin BHT,Berlin
Berlin BIU,Berlin
Berlin BSA,Berlin
Berlin BSP,Berlin
Berlin CODE,Berlin
Berlin DBU,Berlin
Berlin DHGS,Berlin
Berlin ESCP,Berlin
Berlin ESMT,Berlin
Berlin EvH,Berlin
Berlin FHTouro,Berlin
Berlin FU,Berlin
Berlin Hertie,Berlin
Berlin HfM,Berlin
Berlin HfS,Berlin
Berlin HMKW,Berlin
Berlin HSAP,Berlin
Berlin HTW,Berlin
Berlin HU,Berlin
Berlin HWR,Berlin
Berlin IB,Berlin
Berlin IPU,Berlin
Berlin KHS,Berlin
Berlin MDH,Berlin
Berlin MSB,Berlin
Berlin PHB,Berlin
Berlin Quadriga,Berlin
Berlin SRH,Berlin
Berlin TU,Berlin
Berlin UdK,Berlin
Berlin VICTORIA,Berlin
Berlin-Weißensee KHB,Berlin
Bonn-Rhein-Sieg H,Rhein-Sieg-Kreis
Brandenburg TH,Brandenburg
Bremen CU,Bremen
Bremen FernFH,Bremen
Bremen H,Bremen
Bremen HfK,Bremen
Bremen U,Bremen
Bremen VerwH (Verw),Bremen
Detmold HfM,Detmold
Dortmund FH,Dortmund
Dortmund ISM,Dortmund
Dortmund TU,Dortmund
Duisburg-Essen U,Essen
Düsseldorf FliednerFH,Düsseldorf
Düsseldorf H,Düsseldorf
Düsseldorf HfM,Düsseldorf
Düsseldorf IST,Düsseldorf
Düsseldorf KuAk,Düsseldorf
Düsseldorf U,Düsseldorf
Essen FOM,Essen
Essen HBK,Essen
Essen UdK,Essen
Esslingen H,Esslingen
Frankfurt am Main FH,Frankfurt am Main
Frankfurt am Main FHProvadis,Frankfurt am Main
Frankfurt am Main FSFM,Frankfurt am Main
Frankfurt am Main HfBK,Frankfurt am Main
Frankfurt am Main HfM,Frankfurt am Main
Frankfurt am Main PhThH,Frankfurt am Main
Frankfurt am Main ToU,Frankfurt am Main
Frankfurt am Main U,Frankfurt am Main
Frankfurt am Main UoL,Frankfurt am Main
Freiburg EvHS,Freiburg
Freiburg HfM,Freiburg
Freiburg KathHS,Freiburg
Freiburg PH,Freiburg
Freiburg U,Freiburg
Hamburg AkFinanz (Verw),Hamburg
Hamburg AkPol (Verw),Hamburg
Hamburg BHH,Hamburg
Hamburg BLS,Hamburg
Hamburg EFH,Hamburg
Hamburg EvH,Hamburg
Hamburg FernH,Hamburg
Hamburg FHBrand,Hamburg
Hamburg HAW,Hamburg
Hamburg HCU,Hamburg
Hamburg HfBK,Hamburg
Hamburg HfM,Hamburg
Hamburg HSBA,Hamburg
Hamburg KLU,Hamburg
Hamburg MSH,Hamburg
Hamburg NBS,Hamburg
Hamburg TU,Hamburg
Hamburg U,Hamburg
Hamburg UBw,Hamburg
Hannover FHDW,Hannover
Hannover H,Hannover
Hannover HfMTM,Hannover
Hannover LeibnizFH,Hannover
Hannover MedH,Hannover
Hannover TiHo,Hannover
Hannover U,Hannover
Hohenheim U,Stuttgart
Köln CBS,Köln
Köln DSHS,Köln
Köln HfMT,Köln
Köln INU,Köln
Köln KHKT,Köln
Köln KolpingH,Köln
Köln KuHMedien,Köln
Köln RheinH,Köln
Köln TH,Köln
Köln U,Köln
Ludwigsburg EvH,Ludwigsburg
Ludwigsburg PH,Ludwigsburg
München AkdBK,München
München HAW,München
München HDBW,München
München HFF,München
München HMT,München
München HPhil,München
München IH,München
München KathH,München
München MBS,München
München TUM,München
München U,München
Niedersachsen HVerw (Verw),Hannover
Nordrhein-Westfalen KathH,Köln
Nürnberg AkdBK,Nürnberg
Nürnberg EvH,Nürnberg
Nürnberg HfM,Nürnberg
Nürnberg TH,Nürnberg
Nürnberg TU,Nürnberg
Nürtingen-Geislingen H,Esslingen
Stuttgart AKAD,Stuttgart
Stuttgart AkdBK,Stuttgart
Stuttgart DH,Stuttgart
Stuttgart H,Stuttgart
Stuttgart HdM,Stuttgart
Stuttgart HfK+G,Stuttgart
Stuttgart HfM,Stuttgart
Stuttgart MAW,Stuttgart
Stuttgart MediaAk,Stuttgart
Stuttgart MerzAk,Stuttgart
Stuttgart U,Stuttgart
Stuttgart U Waldorf,Stuttgart
Stuttgart VWA,Stuttgart
